,candidate_name,candidate_party,link,seat_name,state
107,KING-ORSBORN Paris,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
108,CASEY Jim,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
109,ALBANESE Anthony,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
110,CAO Gui Dong,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
111,McFARLAND Graham,Australian Better Families,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
112,ATKINS Damien,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
113,GREEN Allan,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
114,ROWLAND Michelle,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
115,FEENEY Scott Daniel,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
116,RAJADURAI Osbourn Inparajah,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/gree/,Greenway,NSW
117,KELLY Craig,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
118,SHAKESPEARE Mitchell,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
119,CONSTABLE Gae,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
120,KEEP Terrance,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
121,STEINWALL Diedree,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
122,BRYAN Matt,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
123,LIU Leo-Ning,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/hugh/,Hughes,NSW
124,CHAMPION Aoife,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
125,ABDO Lynda,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
126,HARGRAVES Tanya,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
127,TAYLOR Angus,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
128,POWELL David,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
129,KINGSTON Huw Mostyn,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
130,NEBAUER Ian Stanley,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/hume/,Hume,NSW
131,BONDS Stuart,Pauline Hanson's One Nation,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
132,ANGUS Josh,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
133,MURPHY James,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
134,DAVIES Paul,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
135,MURRAY Janet,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
136,STRETTON Richard,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
137,FITZGIBBON Joel,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
138,BODDY Max,Socialist Equality Party,https://www.abc.net.au/news/elections/federal/2019/guide/hunt/,Hunter,NSW
139,CRUZ James,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
140,MANSON Adrian,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
141,THISTLETHWAITE Matt,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
142,CAMPBELL Petra,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
143,JANSSON James,Science Party,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
144,WATSON Adam Bruce,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
145,WILMOT Amanda,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/ksmi/,Kingsford Smith,NSW
146,LEES Brandon,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
147,BEAMER Diane,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
148,McINTOSH Melissa,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
149,BEST Nick,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
150,BUTTEL Christopher,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
151,TYNDALL Mark,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
152,BROWN Geoff,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
153,MOODY-BASEDOW Mark K.C.,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
154,SALEAM Jim,Australia First Party,https://www.abc.net.au/news/elections/federal/2019/guide/lind/,Lindsay,NSW
155,COSTA Phil,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
156,GILLESPIE David,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
157,BOURKE Garry,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
158,GOLDSPRING Ryan Frederick,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
159,McCRAE Dean,Liberal Democrats,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
160,CARUANA Ed,Australian Workers Party,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
161,MILLER Jeremy John,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
162,ZHAO Catherine,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
163,WATSON Stuart,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/lyne/,Lyne,NSW
164,GENT James,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
165,FREELANDER Mike,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
166,STELLINO Matt,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
167,NORMAN Shane,Pauline Hanson's One Nation,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
168,MUNRO Riley,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
169,MURPHY Nathan John,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
170,RIVERA Jayden,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/maca/,Macarthur,NSW
171,LYON David,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
172,DALY Suzanne,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
173,THOMPSON Alice,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
174,WAWN Pru,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
175,STEELE Declan,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
176,FALINSKI Jason,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
177,LEVETT Greg,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/mack/,Mackellar,NSW
178,RICHARDS Sarah,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,Macquarie,NSW
179,LIU Kingsley,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,Macquarie,NSW
180,TEMPLEMAN Susan,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,Macquarie,NSW
181,KEIGHTLEY Greg,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,Macquarie,NSW
182,PETTITT Tony Bryan,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/macq/,Macquarie,NSW
183,WRIGHTSON Meg Libby,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
184,COMMANE Damian,Pauline Hanson's One Nation,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
185,FRANCIS Zeeshan Philip,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
186,BOWEN Chris,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
187,O'NEILL Astrid,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
188,SINGHA Vivek,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/mcma/,McMahon,NSW
189,SELVARAJ Immanuel,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,Mitchell,NSW
190,HAWKE Alex,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,Mitchell,NSW
191,HOPPENBROUWER Roy Peter,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,Mitchell,NSW
