mntl_bh_p_me_2_rate_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, area_code, mntl_bh_f_me_2_rate_3_11_7_13, mntl_bh_m_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
12.1839573792921,3.0,3.0,10.2357236200694,206041120,14.3529186360071,9.8228967053519,6.2900780344018,3.94564558566762,3.0
15.488057341925,3.0,3.0,813.666307427279,601031014,17.8735961897013,12.8601266764165,490.453931065469,323.21237636181,3.0
15.488057341925,3.0,3.0,1170.807588488,601031015,17.8735961897013,12.8601266764165,705.728108751193,465.079479736804,3.0
15.8942239216192,3.0,3.0,656.840671546065,601031016,19.044352231935,12.4720838135726,408.416893957621,248.423777588445,3.0
12.7324445945231,3.0,3.0,3251.9295705409,119021365,15.9760550232601,9.78301357064178,1944.90477419612,1307.02479634477,3.0
10.8012043295222,3.0,3.0,1085.50302093379,119041378,12.6192916381863,8.95239309633273,641.017222852046,444.485798081739,3.0
15.8942239216192,3.0,3.0,1669.52287485393,601031017,19.044352231935,12.4720838135726,1038.09245754238,631.430417311556,3.0
12.7324445945231,3.0,3.0,2476.7145592591,119021366,15.9760550232601,9.78301357064178,1481.26638850388,995.448170755226,3.0
11.4410198187936,3.0,3.0,2826.3668703,212031305,14.8650022616567,8.1190773635088,1794.3502377,1032.0166326,3.0
13.2252028150795,3.0,3.0,1763.8969713,119021367,13.5755339401853,12.8420578642082,909.6703868,854.2265845,3.0
12.4481890684111,3.0,3.0,2078.6243755,125031479,14.9017199150091,10.025457596892,1241.3212731,837.3031024,3.0
13.1506080135549,3.0,3.0,1330.5899097,119031373,15.3210118631803,10.7489947339689,807.9558998,522.6340099,3.0
12.5204818753375,3.0,3.0,3022.93359702548,119031374,12.2354650939919,12.8140714123125,1514.03456676387,1508.8990302616,3.0
10.2319239372895,3.0,3.0,2128.92212754741,124051470,12.6058690704861,7.88750889492662,1298.24321879331,830.678908754092,3.0
11.3960174831488,3.0,3.0,1912.31461500756,120031394,13.1693791241759,9.36919156100281,1161.4157155395,750.898899468058,3.0
11.8182148241401,3.0,3.0,1577.3712875,120031396,14.0781441691271,9.79703073170048,920.4992866,656.8720009,3.0
11.7671531860296,3.0,3.0,1834.11138967226,119041375,14.4732717886802,9.24350769704233,1106.25821087105,727.853178801206,3.0
11.7946563248406,3.0,3.0,3019.3817053,121011402,11.4178371132915,12.1004770045445,1484.6368987,1534.7448066,3.0
11.2399094460813,3.0,3.0,2102.51225727177,121021403,11.181545541706,11.271247415969,1029.60592871345,1072.90632855831,3.0
10.8012043295222,3.0,3.0,2838.10397416621,119041376,12.6192916381863,8.95239309633273,1675.97279104795,1162.13118311826,3.0
10.8502958397657,3.0,3.0,1384.7730212,119041377,12.7098994189068,8.88710652688027,824.1818878,560.5911334,3.0
11.2399094460813,3.0,3.0,1350.65814192823,121021404,11.181545541706,11.271247415969,661.420938586546,689.237203341688,3.0
12.7379203718538,3.0,3.0,3900.0419195,121021405,12.7237424267629,12.6840816612397,2002.2023644,1897.8395551,3.0
11.2873268636193,3.0,3.0,2069.8593718,121021406,11.0547435675658,11.53530087578,1006.1781028,1063.681269,3.0
11.6929799321281,3.0,3.0,2299.25384698222,121031407,11.5002362218916,11.9021718264086,1161.72493346292,1137.5289135193,3.0
11.4752038021574,3.0,3.0,2532.0264537,121031408,11.2982015260381,11.5611120629074,1262.3574248,1269.6690289,3.0
11.6929799321281,3.0,3.0,1929.34775961778,121031409,11.5002362218916,11.9021718264086,974.825550737082,954.522208880698,3.0
11.060177028139,3.0,3.0,2145.29799787278,121031410,10.8948974561647,11.2016723065579,1067.45093359917,1077.84706427361,3.0
12.9953941370504,3.0,3.0,2083.17070765892,119041379,13.3314651241486,12.6638811719045,1108.27987436134,974.890833297577,3.0
12.9953941370504,3.0,3.0,1842.79945663027,119041380,13.3314651241486,12.6638811719045,980.398554356849,862.400902273418,3.0
11.060177028139,3.0,3.0,2074.30202787237,121031411,10.8948974561647,11.2016723065579,1032.12497210857,1042.1770557638,3.0
11.7671531860296,3.0,3.0,2290.79524942774,119041381,14.4732717886802,9.24350769704233,1381.71054842895,909.084700998794,3.0
12.9953941370504,3.0,3.0,2078.53738331082,119041382,13.3314651241486,12.6638811719045,1105.81487228181,972.722511029004,3.0
11.0773445308442,3.0,3.0,2307.78779129643,120011383,12.8529805358862,9.25754436415828,1367.24494340296,940.542847893471,3.0
11.0773445308442,3.0,3.0,2123.34861790357,120011384,12.8529805358862,9.25754436415828,1257.97426949704,865.374348406529,3.0
11.9786564836078,3.0,3.0,2247.23024630312,120011385,12.9780577236038,10.8666983259552,1276.68741314982,970.542833153302,3.0
11.9786564836078,3.0,3.0,2458.59191799688,120011386,12.9780577236038,10.8666983259552,1396.76535635018,1061.8265616467,3.0
11.8081349905631,3.0,3.0,1906.76576792925,120021387,12.4845821960417,10.9894816246621,1068.59921984219,838.166548087058,3.0
11.060177028139,3.0,3.0,1984.55023435485,121031412,10.8948974561647,11.2016723065579,987.466544292259,997.083690062589,3.0
11.1743209600198,3.0,3.0,2908.8241194,120021388,12.51841848501,9.57715698667833,1739.7958334,1169.028286,3.0
11.8081349905631,3.0,3.0,1682.63806717075,120021389,12.4845821960417,10.9894816246621,942.99245145781,739.645615712942,3.0
12.8324411899248,3.0,3.0,2578.34045773122,121041413,12.9956298359634,12.6817735162008,1405.00052407829,1173.33993365293,3.0
13.1308832970512,3.0,3.0,2448.36197710021,121041414,12.9609504062696,13.3338074349974,1291.33969303861,1157.0222840616,3.0
12.3389529741478,3.0,3.0,3664.2053694,121041415,12.5776158379256,12.0127112133627,1981.8857866,1682.3195828,3.0
12.8324411899248,3.0,3.0,2386.00371316878,121041416,12.9956298359634,12.6817735162008,1300.19154662171,1085.81216654707,3.0
